ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,VisitLocations_Country_1,VisitLocations_Destination_1,Purpose,StartDate,EndDate,Appg,Donors_Name_1,Donors_IsPrivateIndividual_1,Donors_PublicAddress_1,Donors_PaymentType_1,Donors_PaymentDescription_1,Donors_Value_1,Donors_IsSoleBeneficiary_1,Link,Donors_Name_2,Donors_IsPrivateIndividual_2,Donors_PublicAddress_2,Donors_PaymentType_2,Donors_PaymentDescription_2,Donors_Value_2,Donors_IsSoleBeneficiary_2,Donors_Name_3,Donors_IsPrivateIndividual_3,Donors_PublicAddress_3,Donors_PaymentType_3,Donors_PaymentDescription_3,Donors_Value_3,Donors_IsSoleBeneficiary_3,VisitLocations_Country_2,VisitLocations_Destination_2,Donors_Name_4,Donors_IsPrivateIndividual_4,Donors_PublicAddress_4,Donors_PaymentType_4,Donors_PaymentDescription_4,Donors_Value_4,Donors_IsSoleBeneficiary_4,Donors_Name_5,Donors_IsPrivateIndividual_5,Donors_PublicAddress_5,Donors_PaymentType_5,Donors_PaymentDescription_5,Donors_Value_5,Donors_IsSoleBeneficiary_5,Updated_2
3311,International visit to Singapore between 03 December 2023 and 07 December 2023,,2023-12-27,2023-12-17,,Visits outside the UK,4504,Wes Streeting,Singapore,,To take part in the Lee Kuan Yew Exchange Fellowship meeting Singapore Government officials and learn about their health and social care system.,2023-12-03,2023-12-07,,Singapore Government,False,"Orchard Road, Istana, Singapore 238823",In kind,"For me and a member of staff, flights, accommodation, transport, events, visits and meals (value is estimated)",17591.00,False,https://interests-api.parliament.uk/api/v1/Interests/3311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2087,International visit to Ukraine between 28 September 2023 and 01 October 2023,,2023-10-24,2023-12-17,,Visits outside the UK,3989,Jack Lopresti,Ukraine,,Attendance at a conference of defence manufacturers.,2023-09-28,2023-10-01,,Conservative Friends of Ukraine,False,"One Bartholomew Close, London EC1A 7BL",In kind,Travel and accommodation for me and a member of staff (value is approximate),890.00,False,https://interests-api.parliament.uk/api/v1/Interests/2087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3135,International visit to Switzerland between 17 October 2023 and 20 October 2023,,2023-11-07,2023-12-17,,Visits outside the UK,4511,Dr Rupa Huq,Switzerland,Geneva,To participate in the UNECE Regional Conference on ICPD 30 Population and Development: Ensuring Rights and Choices at the United Nations.,2023-10-17,2023-10-20,,European Parliamentary Forum for Sexual and Reproductive Rights,False,"Rue Montoyer 23, 1000 Brussels",In kind,"Flights, hotel, per diem, taxi and UK transport",1522.07,True,https://interests-api.parliament.uk/api/v1/Interests/3135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3147,International visit to Finland between 02 November 2023 and 04 November 2023,,2023-11-13,2023-12-17,,Visits outside the UK,4677,Giles Watling,Finland,Helsinki and Rauma,"To visit the Olkiluoto 3 Nuclear Power Plant, Onkalo Geological Disposal Facility and Radiation and Nuclear Safety Authority (STUK) as part of a Nuclear Energy APPG visit.",2023-11-02,2023-11-04,Nuclear Energy,Nuclear Industry Association,False,"5th Floor, Tower House, 10 Southampton Street, London W2E 7HA",In kind,"Flights, accommodation, ground transport and meals",839.68,True,https://interests-api.parliament.uk/api/v1/Interests/3147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3204,International visit to United States between 13 November 2023 and 16 November 2023,,2023-11-29,2023-12-17,,Visits outside the UK,4457,Ms Marie Rimmer,United States,Washington DC,"Delegation of Conservative and Labour MPs convened by CGP's 1946 Caucus, including discussions with US policymakers, officials and policy professionals to consider joint UK-US foreign policy challenges.",2023-11-13,2023-11-16,,Coalition for Global Prosperity (CGP) (funded by the Eleanor Crook Foundation),False,"1 Horse Guards Avenue, London SW1A 2HU",In kind,"Airport transfers and other car services (£458.90); hotel accommodation, including breakfasts £1,575.60; economy flights (£2,227.90); and food (£441.80) (value is estimated)",4704.20,True,https://interests-api.parliament.uk/api/v1/Interests/3204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3438,International visit to Switzerland between 02 January 2024 and 06 January 2024,,2024-01-26,2023-12-17,2024-02-05,Visits outside the UK,4443,Carol Monaghan,Switzerland,Davos,68th Annual British-Swiss Parliamentary ski week with the APPG for Switzerland. Political meetings with Swiss Parliamentarians and diplomats.,2024-01-02,2024-01-06,British-Switzerland All-Party Parliamentary Group,Davos Klosters Bergbahnen AG,False,"Brämabüelstrasse 11, 7270 Davos",In kind,"Two ski passes provided, 50% discount on two ski passes",964.00,False,https://interests-api.parliament.uk/api/v1/Interests/3438,Skigruppe der Bundesversammlung,True,,In kind,"Ski guides, formal dinner and receptions for four people (I paid all other costs)",1755.00,False,,,,,,,,,,,,,,,,,,,,,,,,
3312,International visit to United States between 27 November 2023 and 06 December 2023,,2023-12-18,2023-12-17,,Visits outside the UK,4097,Elizabeth Truss,United States,,(1) To attend a variety of political meetings and events. (2) To attend International Democracy Union Forum.,2023-11-27,2023-12-06,,Conservative Friends of Ukraine,False,"One Bartholomew Close, London EC1A 7BL",In kind,"Flights (approx. £14,714) and accommodation (approx. £2,116) for me and a staff member",16830.00,False,https://interests-api.parliament.uk/api/v1/Interests/3312,Heritage Foundation,False,"214 Massachusetts Ave NE, Washington, DC 20002-4999, USA",In kind,Accommodation for me and a staff member (value is approximate),387.00,False,,,,,,,,,,,,,,,,,,,,,,,,
3205,International visit to Turkey between 02 November 2023 and 07 November 2023,,2023-12-05,2023-12-17,,Visits outside the UK,4409,Naz Shah,Turkey,Istanbul,Training and supporting charitable efforts.,2023-11-02,2023-11-07,,Mercy Mission UK,False,"203 Westgate, Bradford BD1 3AD",In kind,"Flights, transport and hotel accommodation",757.64,True,https://interests-api.parliament.uk/api/v1/Interests/3205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3207,International visit to United States between 28 November 2023 and 30 November 2023,,2023-12-06,2023-12-17,,Visits outside the UK,3960,Henry Smith,United States,New York,"As a member of the APPG on Sustainable Aviation, invited to join the first transatlantic test flight using sustainable aviation fuel.",2023-11-28,2023-11-30,All-Party Parliamentary Group on Sustainable Aviation,Virgin Atlantic Limited,False,"The VHQ, Fleming Way, Crawley RH10 9DF",In kind,"Incidental costs of participating in a transatlantic test flight, plus hospitality and hotel for one night in New York",818.00,True,https://interests-api.parliament.uk/api/v1/Interests/3207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4476,International visit to Canada between 01 December 2023 and 06 December 2023,,2024-02-12,2023-12-17,,Visits outside the UK,4373,Mickey Brady,Canada,Nova Scotia,Meetings regarding the Anniversary of the Good Friday Agreement,2023-12-01,2023-12-06,,Friends of Sinn Féin Canada (Inc),False,"466 Dupont Street, Toronto, Canada",In kind,"Flights, accommodation and subsistence (value is estimated)",1615.63,True,https://interests-api.parliament.uk/api/v1/Interests/4476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
