ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,JobTitle,StartDate,EndDate,IsUntilFurtherNotice,PayerName,PayerIsPrivateIndividual,IsPaidAsDirectorOfPayer,PayerNatureOfBusiness,PayerPublicAddress,HasSoughtAcobaAdvice,Link,Updated_2,Updated_3,Updated_4,Updated_5,Updated_6,Updated_7,Updated_8
4545,Writing a book - A M Heath & Company Limited,,2024-03-21,2024-03-28,,Employment and earnings,3930,Caroline Lucas,Writing a book,,,False,A M Heath & Company Limited,False,False,literary agent,"6 Warwick Court, London WC1R 5DJ",,https://interests-api.parliament.uk/api/v1/Interests/4545,,,,,,,
4989,Speaking event on 29 February 2024 - Bruin Capital Holdings,,2024-03-20,2024-03-27,2024-03-28,Employment and earnings,1539,Mr Ben Wallace,Speaking event on 29 February 2024,,,False,Bruin Capital Holdings,False,False,,"7 Renaissance Square, 2nd Floor, White Plains, NY 10601",,https://interests-api.parliament.uk/api/v1/Interests/4989,,,,,,,
4480,Royalties,,,2024-03-26,,Employment and earnings,4370,Jess Phillips,Royalties,,,False,Authors' Licensing and Collecting Society (ALCS),False,False,Collection of copyright payments for authors,"6th Floor, International House, 1 St Katharine's Way, London E1W 1UN",False,https://interests-api.parliament.uk/api/v1/Interests/4480,,,,,,,
4884,Guest speaker at the International Military Chiefs of Chaplains Conference in Stuttgart on 8 February 2024. - The Religious Freedom Institute (RFI USA),,2024-03-15,2024-03-26,,Employment and earnings,3987,Rehman Chishti,Guest speaker at the International Military Chiefs of Chaplains Conference in Stuttgart on 8 February 2024.,,,False,The Religious Freedom Institute (RFI USA),False,False,,"316 Pennsylvania Ave, STE 501, Washington DC 20003, United States",,https://interests-api.parliament.uk/api/v1/Interests/4884,,,,,,,
5025,Legal consultant - Bird and Bird LLP,,,2024-03-18,2024-05-15,Employment and earnings,1560,Sir Jeremy Wright,Legal consultant,2022-10-06,2024-05-07,True,Bird and Bird LLP,False,False,Law firm,"12 New Fetter Lane, London EC4A 1JP",,https://interests-api.parliament.uk/api/v1/Interests/5025,,,,,,,
4720,Chairman - Pembroke VCT plc,,2015-06-03,2024-03-18,,Employment and earnings,1425,Mr Jonathan Djanogly,Chairman,,,False,Pembroke VCT plc,False,False,A venture capital trust,"3 Cadogan Gate, London SW1X 0AS",,https://interests-api.parliament.uk/api/v1/Interests/4720,,,,,,,
4722,"Partner - Gatley Farms, farming partnership",,2015-05-01,2024-03-18,,Employment and earnings,1542,Philip Dunne,Partner,,,False,"Gatley Farms, farming partnership",True,False,,,,https://interests-api.parliament.uk/api/v1/Interests/4722,,,,,,,
4865,Consultant paediatrician,,2017-01-09,2024-03-18,2017-04-27,Employment and earnings,4592,Dr Caroline Johnson,Consultant paediatrician,,,False,North West Anglia NHS Foundation Trust,False,False,,"Peterborough City Hospital, Bretton Gate, Bretton, PE3 9GZ",,https://interests-api.parliament.uk/api/v1/Interests/4865,2017-07-06,2020-03-13,2021-11-16,2022-06-21,2022-10-07,2023-10-26,
4375,Writing articles,,,2024-03-18,,Employment and earnings,4370,Jess Phillips,Writing articles,,,False,Guardian News & Media Ltd,False,False,,"Kings Place, 90 York Way, London N1P 2AP",,https://interests-api.parliament.uk/api/v1/Interests/4375,,,,,,,
4392,Writing articles - Daily Telegraph,,2023-07-12,2024-03-18,,Employment and earnings,4007,Dominic Raab,Writing articles,,,False,Daily Telegraph,False,False,,"111 Buckingham Palace Road, London SW1W 0DT",,https://interests-api.parliament.uk/api/v1/Interests/4392,,,,,,,
3818,Member of the Advisory Board of the House Magazine - Political Engagement Limited,,2021-07-01,2024-03-18,2022-12-09,Employment and earnings,4110,Dame Karen Bradley,Member of the Advisory Board of the House Magazine,2021-05-12,,False,Political Engagement Limited,False,False,,"11th Floor, Millbank Tower, 21-24 Millbank, London SW1P 4QP",True,https://interests-api.parliament.uk/api/v1/Interests/3818,2023-10-19,,,,,,
3833,Royalty payments - Springer Nature Ltd,,2023-05-05,2024-03-18,,Employment and earnings,4097,Elizabeth Truss,Royalty payments,,,False,Springer Nature Ltd,False,False,,"The Campus, 4 Crinan Street, London N1 9XW",,https://interests-api.parliament.uk/api/v1/Interests/3833,,,,,,,
4932,Academic Work - Liberty Fund Inc,,,2024-03-18,,Employment and earnings,3991,Jesse Norman,Academic Work,,,False,Liberty Fund Inc,False,False,private educational foundation,"11301 N. Meridian Street, Carmel, IN 46032-4564, USA",,https://interests-api.parliament.uk/api/v1/Interests/4932,,,,,,,
5002,Non-executive director - Rentplus-UK Ltd,,2019-04-24,2024-03-18,2020-05-21,Employment and earnings,234,Sir Gary Streeter,Non-executive director,2019-04-15,,False,Rentplus-UK Ltd,False,True,A company which provides rent to buy housing for young people,"II Exchange Square, 21 North Fourth Street, Milton Keynes MK9 1HL",,https://interests-api.parliament.uk/api/v1/Interests/5002,2022-01-28,2024-01-30,,,,,
4849,Strategic Adviser - BB Energy Trading Ltd,,,2024-03-18,,Employment and earnings,350,Sir John Hayes,Strategic Adviser,2018-09-01,,False,BB Energy Trading Ltd,False,False,an international energy company trading worldwide,"12-14 Ansdell St, London W8 5BN",True,https://interests-api.parliament.uk/api/v1/Interests/4849,,,,,,,
4081,Presenting seminars,,,2024-03-18,,Employment and earnings,3940,Craig Whittaker,Presenting seminars,,,False,Betting and Gaming Council,False,False,,"1 Bedford Row, London WC1R 4BU",,https://interests-api.parliament.uk/api/v1/Interests/4081,,,,,,,
4130,Appearing in a drama - ITV,,2024-01-04,2024-03-18,,Employment and earnings,4113,Nadhim Zahawi,Appearing in a drama,,,False,ITV,False,False,,"ITV White City, 201 Wood Lane, London W12 7RU",,https://interests-api.parliament.uk/api/v1/Interests/4130,,,,,,,
4181,Legal services,,,2024-03-18,,Employment and earnings,1508,Sir Geoffrey Cox,Legal services,,,False,CMS Holborn Asia,False,False,,"Holborn Law LLC, 7 Straights View, Marina One East Tower, #19-01, 018936, Singapore",,https://interests-api.parliament.uk/api/v1/Interests/4181,,,,,,,
4408,Presenting a TV programme - GB News,,2023-04-25,2024-03-18,,Employment and earnings,4099,Sir Jacob Rees-Mogg,Presenting a TV programme,,,False,GB News,False,False,,"2 Swan Lane, London EC4R 3TT",,https://interests-api.parliament.uk/api/v1/Interests/4408,,,,,,,
3869,Speaking engagements - Coulthwaite Group Pte Ltd (trading as CWG Speakers),,,2024-03-18,2024-05-02,Employment and earnings,4475,Suella Braverman,Speaking engagements,,,False,Coulthwaite Group Pte Ltd (trading as CWG Speakers),False,False,,"21 Woodlands Close, #08- 44, Primz Bizhub Singapore 737854",True,https://interests-api.parliament.uk/api/v1/Interests/3869,,,,,,,
4341,Surgeon Commander - Royal Naval Reserve,,,2024-03-18,2014-01-15,Employment and earnings,1466,Dr Andrew Murrison,Surgeon Commander,,,False,Royal Naval Reserve,False,False,,"HMS President, St Katherine’s Dock, London",,https://interests-api.parliament.uk/api/v1/Interests/4341,2015-10-02,,,,,,
5011,Managing Director and Board Director - Emerging Asset Management Ltd,,2015-11-28,2024-03-18,2017-01-26,Employment and earnings,1428,Sir Bill Wiggin,Managing Director and Board Director,2015-11-21,,False,Emerging Asset Management Ltd,False,True,,"58 Par-la-Ville Road, 4th floor, Vallis Building, Hamilton, Bermuda",,https://interests-api.parliament.uk/api/v1/Interests/5011,2017-11-13,2018-02-08,2019-01-07,2019-02-26,2021-11-08,2023-05-30,
3780,Speaking engagement,,,2024-03-18,,Employment and earnings,4014,Lord Sharma,Speaking engagement,,,False,Chartwell Partners Ltd,False,False,,"Unit 28, Colonnade Walk, 123 Buckingham Palace Road, London SW1W 9SH",,https://interests-api.parliament.uk/api/v1/Interests/3780,,,,,,,
4511,Writing articles - Reach Shared Services,,2024-03-11,2024-03-18,,Employment and earnings,4060,Sir Jake Berry,Writing articles,,,False,Reach Shared Services,False,False,,"1st Floor, 5 St Paul’s Square, Liverpool L3 9SJ",,https://interests-api.parliament.uk/api/v1/Interests/4511,,,,,,,
4693,Non-executive director,,2024-02-05,2024-03-18,,Employment and earnings,435,Lord Brady of Altrincham,Non-executive director,2024-02-01,2026-01-31,True,Medannex Limited,False,False,Scottish biopharmaceutical company,"1 Lochrin Square, Foutainbridge, Edinburgh EH3 9QA",,https://interests-api.parliament.uk/api/v1/Interests/4693,,,,,,,
