mnis_id,name,party,constituency,adhoc_earnings,adhoc_hours,ongoing_earnings,ongoing_hours,total_earnings,total_hours,summary
5139,Emily Darlington,Labour,Milton Keynes Central,0.0,0.0,21853.95,1389.7,21853.95,1389.7,£22k from 1 ongoing role (Milton Keynes City Council).
5050,Lewis Cocking,Conservative,Broxbourne,548.39,37.5,20879.94,213.2,21428.33,250.7,£548 from 1 ad hoc payment (Hertfordshire Police and Crime Commissioner). £21k from 1 ongoing role (Hertfordshire County Council).
5321,Mr Paul Kohler,Liberal Democrat,Wimbledon,0.0,0.0,21347.33,926.5,21347.33,926.5,£21k from 1 ongoing role (Merton Council).
5151,David Williams,Labour,Stoke-on-Trent North,0.0,0.0,21322.38,1279.3,21322.38,1279.3,£21k from 1 ongoing role (Stoke-on-Trent City Council).
4573,Dr Rosena Allin-Khan,Labour,Tooting,7185.0,102.5,13642.03,247.8,20827.03,350.3,£7k from 13 ad hoc payments (St George's Hospital NHS Trust and ITV PLC). £14k from 1 ongoing role (St George's Hospital NHS Trust).
5310,Mr Lee Dillon,Liberal Democrat,Newbury,0.0,0.0,20590.17,1389.7,20590.17,1389.7,£21k from 1 ongoing role (West Berkshire Council).
4495,Kit Malthouse,Conservative,North West Hampshire,0.0,0.0,20533.88,345.0,20533.88,345.0,£21k from 1 ongoing role (County Asset Finance Limited).
5204,Sarah Sackman,Labour,Finchley and Golders Green,19948.94,133.0,0.0,0.0,19948.94,133.0,"£20k from 7 ad hoc payments (London Borough of Camden Planning Department, Government Legal Department (Secretary of State for Levelling Up Housing and Communities) and 3 others)."
5159,Mr Connor Rand,Labour,Altrincham and Sale West,19432.24,150.0,0.0,0.0,19432.24,150.0,"£19k from 2 ad hoc payments (Union of Shop, Distributive and Allied Workers (Usdaw))."
4320,Robert Jenrick,Reform UK,Newark,19200.0,46.0,0.0,0.0,19200.0,46.0,£19k from 3 ad hoc payments (Telegraph Media Group Holdings Limited).
5322,Mr Will Forster,Liberal Democrat,Woking,0.0,0.0,18635.56,539.9,18635.56,539.9,£19k from 2 ongoing roles (Surrey County Council and Woking Borough Council).
5255,Joe Robertson,Conservative,Isle of Wight East,0.0,0.0,17934.9,0.0,17934.9,0.0,£18k from 1 ongoing role (Isle of Wight Council).
5146,Michael Payne,Labour,Gedling,2989.17,140.0,14483.68,826.5,17472.85,966.5,"£3k from 5 ad hoc payments (Nottinghamshire & City of Nottingham Fire Authority, Nottinghamshire County Council and 1 other). £14k from 4 ongoing roles (Nottinghamshire & City of Nottingham Fire Authority, Gedling Borough Council and 2 others)."
188,Ed Davey,Liberal Democrat,Kingston and Surbiton,17250.0,156.0,0.0,0.0,17250.0,156.0,"£17k from 6 ad hoc payments (HarperCollins Publishing, Hat Trick Productions and 1 other)."
5188,Tracy Gilbert,Labour,Edinburgh North and Leith,16269.01,80.0,0.0,0.0,16269.01,80.0,£16k from 2 ad hoc payments (USDAW).
5100,Blake Stephenson,Conservative,Mid Bedfordshire,15846.1,37.0,0.0,0.0,15846.1,37.0,£16k from 2 ad hoc payments (Tradeweb Europe Limited and Central Bedfordshire Council).
5069,Torsten Bell,Labour,Swansea West,15702.93,44.0,0.0,0.0,15702.93,44.0,"£16k from 7 ad hoc payments (Robert Caskie, The Observer and 1 other)."
5065,Rachel Taylor,Labour,North Warwickshire and Bedworth,15624.0,0.0,0.0,0.0,15624.0,0.0,£16k from 1 ad hoc payment (Rachel Taylor Consultancy Limited).
5254,Alison Hume,Labour,Scarborough and Whitby,15456.04,0.0,0.0,0.0,15456.04,0.0,£15k from 6 ad hoc payments (Rochelle Stevens & Co Ltd).
5242,Michael Wheeler,Labour,Worsley and Eccles,14566.67,0.0,787.79,24.2,15354.46,24.2,"£15k from 1 ad hoc payment (Union of Shop, Distributive and Allied Workers). £788 from 1 ongoing role (Union of Shop, Distributive and Allied Workers)."
4118,Sir Julian Smith,Conservative,Skipton and Ripon,15181.94,99.0,0.0,0.0,15181.94,99.0,£15k from 8 ad hoc payments (International Finance Facility for Education).
5345,Peter Lamb,Labour,Crawley,656.25,0.0,14440.3,0.0,15096.55,0.0,£656 from 1 ad hoc payment (CIPD). £14k from 3 ongoing roles (Crawley Borough Council).
5042,Pam Cox,Labour,Colchester,631.38,20.0,14155.07,321.2,14786.45,341.2,£631 from 1 ad hoc payment (Colchester City Council). £14k from 1 ongoing role (University of Essex).
227,Andrew George,Liberal Democrat,St Ives,0.0,0.0,14483.12,643.4,14483.12,643.4,£14k from 1 ongoing role (Cornwall Council).
1171,Liam Byrne,Labour,Birmingham Hodge Hill and Solihull North,14350.0,40.0,0.0,0.0,14350.0,40.0,£14k from 4 ad hoc payments (Head of Zeus – UK).
5073,Marie Goldman,Liberal Democrat,Chelmsford,0.0,0.0,13996.71,337.3,13996.71,337.3,£14k from 3 ongoing roles (Essex County Council and Chelmsford City Council).
3991,Jesse Norman,Conservative,Hereford and South Herefordshire,13990.45,60.0,0.0,0.0,13990.45,60.0,£14k from 20 ad hoc payments (Peters Fraser & Dunlop Ltd and Liberty Fund Inc).
5288,Dr Al Pinkerton,Liberal Democrat,Surrey Heath,4106.21,40.0,8782.32,274.1,12888.53,314.1,£4k from 1 ad hoc payment (Royal Holloway University). £9k from 1 ongoing role (Royal Holloway University).
