mnis_id,employer,role,nature_of_business,address,row_type,date_display,earnings,hours,rate_display,sort_date
5116,Materials Processing Institute,Strategy Consultant,Research and innovation organisation,"Eston Road, Middlesbrough TS6 6US",adhoc,30 Jul 2024,6634.61,0.0,,2024-07-30
5118,Labour Party,Polling Consultant,,"20 Rushworth St, London SE1 0SS",adhoc,6 Aug 2024,4800.0,64.0,,2024-08-06
5119,Channel 4 Television,Media Planning Manager,Television broadcaster,"124 Horseferry Road, London SW1P 2TX",adhoc,31 Jul 2024,47219.0,0.0,,2024-07-31
5119,Channel 4 Television,Media Planning Manager,Television broadcaster,"124 Horseferry Road, London SW1P 2TX",ongoing,17 Jul 2024 – 19 Jul 2024,178.28,8.6,"£2,713/monthly · 30h/weekly",2024-07-17
5122,The Open University,Associate Lecturer,"University, higher education institution","Walton Hall, Milton Keynes MK7 6AA",adhoc,23 Aug 2024,310.53,16.0,,2024-08-23
5122,The Open University,Associate Lecturer,"University, higher education institution","Walton Hall, Milton Keynes MK7 6AA",ongoing,23 Jul 2024 – 23 Aug 2024,426.27,35.4,£419/monthly · 8h/weekly,2024-07-23
5122,Stratford-on-Avon District Council,District Councillor,local authority,Elizabeth House Church Street Stratford upon Avon CV37 6HX,ongoing,17 Jul 2024 – 1 Aug 2024,276.84,42.8,£562/monthly · 20h/weekly (I have asked that my allowance is stopped from 1 August 2...),2024-07-17
5128,Manchester City Council,Councillor,,"City of Manchester, Town Hall, Manchester M60 2JR",adhoc,6 Sep 2024,731.05,10.0,,2024-09-06
5128,NatWest Group PLC,NatWest Group PLC,,"36 St Andrew Square, Edinburgh EH2 2YB",adhoc,18 Jul 2024,3333.34,75.0,,2024-07-18
5129,Inverclyde Council,Councillor,,"Municipal Buildings, 24 Clyde Sq, Greenock PA15 1LY",adhoc,17 Jul 2024,982.5,50.0,,2024-07-17
5130,Hertfordshire County Council,Project Manager,,"County Hall, Pegs Lane, Hertford, Hertfordshire SG13 8DF",adhoc,31 Jul 2024,3286.23,40.0,,2024-07-31
5134,Venture Xtreme Consultancy Limited,Director and CEO of consultancy company,,,ongoing_parent,,7336.24,4.6,,2024-07-17
5134,Venture Xtreme Consultancy Limited,Director and CEO of consultancy company,,,ongoing_child,17 Jul 2024 – 31 Jul 2024,679.32,4.6,"£1,477/monthly · 10h/monthly (Partial monthly salary to end of employment on 5 July 2024)",2024-07-17
